mean_1,standarddeviation_1,nanalyzed_1,mean_2,standarddeviation_2,nanalyzed_2,studyid,armno,tt1,tt2,AltIDs,Year,MatchwithFDA,MatchwithCTgov,MatchwithPublication,md,semd,design,n,source
19.5,1.200000048,17,19.89999962,1.399999976,16,2603,3,12,11,5320:internal,2008,0,0,,-0.399999619,0.455198735,12vs11,33,0
18.89999962,1.799999952,15,19.5,1.200000048,17,2603,3,13,12,5320:internal,2008,0,0,,-0.600000381,0.548366547,13vs12,32,0
-6.7,3.2,138,-7,3.1,136,2745,3,13,12,3066:internal,2003,0,0,,0.300000012,0.380610913,13vs12,274,0
-6.7,3.2,138,-7.3,3.2,136,2745,3,13,11,3066:internal,2003,0,0,,0.600000024,0.386648446,13vs11,274,0
-7,3.1,136,-7.3,3.2,136,2745,3,12,11,3066:internal,2003,0,0,,0.300000012,0.382041723,12vs11,272,0
-16.10000038,8.15291359,23,-16.29999924,8.281907993,19,2757,3,7,6,8511:internal,2009,0,0,,0.199998856,2.549509764,7vs6,42,0
-16.10000038,8.15291359,23,-8.5,4.024922359,20,2757,3,7,4,8511:internal,2009,0,0,,-7.600000381,1.923538446,7vs4,43,0
-16.29999924,8.281907993,19,-8.5,4.024922359,20,2757,3,6,4,8511:internal,2009,0,0,,-7.799999237,2.10237956,6vs4,39,0
20.29999924,5,308,20.89999962,5,106,2767,3,10,4,3877:internal,1995,0,0,,-0.600000381,0.563043416,10vs4,414,0
20.29999924,5,308,19.10000038,3.400000095,102,2767,3,10,7,3877:internal,1995,0,0,,1.199998856,0.441024005,10vs7,410,0
19.10000038,3.400000095,102,20.89999962,5,106,2767,3,7,4,3877:internal,1995,0,0,,-1.799999237,0.590916574,7vs4,208,0
20.89999962,1.899999976,20,20.79999924,2.400000095,20,2879,3,13,12,2121:internal,2007,0,0,,0.100000381,0.684470594,13vs12,40,0
20.79999924,2.400000095,20,18.29999924,1.200000048,20,2879,3,12,11,2121:internal,2007,0,0,,2.5,0.600000024,12vs11,40,0
20.89999962,1.899999976,20,18.29999924,1.200000048,20,2879,3,13,11,2121:internal,2007,0,0,,2.600000381,0.502493799,13vs11,40,0
16,3.698648402,38,17.5,3.746998799,39,2885,3,12,7,5290:internal,2004,0,0,,-1.5,0.848528147,12vs7,77,0
16,3.698648402,38,14.60000038,3.698648402,38,2885,3,12,11,5290:internal,2004,0,0,,1.399999619,0.848528147,12vs11,76,0
14.60000038,3.698648402,38,17.5,3.746998799,39,2885,3,11,7,5290:internal,2004,0,0,,-2.899999619,0.848528147,11vs7,77,0
17.3,3.2,30,17.2,3.7,27,38787,3,12,11,2014_9872:internal,2010,0,0,,0.100000001,0.921070218,12vs11,57,0
18.8,4.1,26,17.3,3.2,30,38787,3,13,12,2014_9872:internal,2010,0,0,,1.5,0.993917406,13vs12,56,0
18.8,4.1,26,17.2,3.7,27,38787,3,13,11,2014_9872:internal,2010,0,0,,1.600000024,1.074046373,13vs11,53,0
,,316,,,321,202514_001,2,14,7,202514_001,2012,,1,1,0.059999999,0.232142851,14vs7,637,1
,,265,,,187,202514_15_003,2,14,7,202514_15_003,2012,,0,0,-0.419999987,0.31122449,14vs7,452,1
,,264,,,264,202514_74458,2,14,7,202514_74458,2012,,0,0,1.129999995,0.260204077,14vs7,528,1
22,4.388496326,229,23.2,4.569463864,232,204251   C-10-039,2,9,3,204251   C-10-039,2012,,1,1,-1.200000048,0.417252928,9vs3,461,1
21.6,4.190656273,224,23.3,4.262112152,216,204251_C-10-033,2,9,3,204251_C-10-033,2012,,1,1,-1.700000048,0.403112888,9vs3,440,1
,,195,,,186,21398_190342_012T,2,7,3,21398_190342_012T,2012,,0,0,-1.899999976,0.212310433,7vs3,381,1
,,197,,,196,21398_190342_013T,2,7,3,21398_190342_013T,2012,,0,0,-2.700000048,0.177868798,7vs3,393,1
,,240,,,122,48073,2,11,7,21-275_192024-008,2001,,0,0,-2.140000105,0.387755096,11vs7,362,1
,,131,,,133,48247,2,10,9,20-816_c-95-46,1997,,0,1,0.100000001,0.362244904,10vs9,264,1
,,155,,,153,48521,2,10,9,20-816_c-95-48,1997,,0,1,0.5,0.336734682,10vs9,308,1
,,182,,,177,48523,2,8,7,21-114_c-97-67,1999,,0,0,2,0.364795923,8vs7,359,1
,,174,,,174,48524,2,8,7,21-114_c-97-80,1999,,0,0,1.399999976,0.34438777,8vs7,348,1
,,234,,,119,48525,2,11,7,21-275_192024-009,2001,,0,1,-2.400000095,0.423469394,11vs7,353,1
21.5,4.9,118,20.3,4.2,117,48528,2,10,7,20-869_44,1997,,0,0,1.200000048,0.595183849,10vs7,235,1
23.5,4.2,109,21.5,4,111,48529,2,10,7,20-869_47,1997,,0,1,2,0.553153694,10vs7,220,1
24.2,5.1,51,23.6,4.3,98,48530,2,10,7,20-869_63,1997,,0,1,0.600000024,0.835866868,10vs7,149,1
24.8,4.2,49,22.5,3.4,96,48531,2,10,7,20-869_64,1997,,0,0,2.299999952,0.693120956,10vs7,145,1
,,276,,,137,48532,2,15,7,21-214_C97-UIOS-005,2010,,0,1,1.886999965,0.341836721,15vs7,413,1
,,373,,,189,48533,2,15,7,21-214_C97-UIOS-004,2010,,0,0,2.069999933,0.265306115,15vs7,562,1
,,197,,,185,48537,2,13,7,21-257_c-97-79,2000,,0,0,-0.600000024,0.346938789,13vs7,382,1
,,197,,,199,48538,2,13,7,21-257_c-97-72,2000,,0,1,-1,0.387755096,13vs7,396,1
,,197,,,195,48539,3,13,7,21-257_c-97-71,2000,,0,0,-1.399999976,0.372448981,13vs7,392,1
,,193,,,195,48539,3,12,7,21-257_c-97-71,2000,,0,0,-1.100000024,0.298184931,12vs7,388,1
,,197,,,193,48539,3,13,12,21-257_c-97-71,2000,,0,0,-0.300000012,0.372448981,13vs12,390,1
,,41,,,42,48522,4,4,1,21-114_c-97-40,1999,,0,0,-1,0.602501035,4vs1,83,1
,,43,,,42,48522,4,7,1,21-114_c-97-40,1999,,0,0,-2.700000048,0.58913213,7vs1,85,1
,,43,,,41,48522,4,8,4,21-114_c-97-40,1999,,0,0,-2,0.785714269,8vs4,84,1
,,43,,,43,48522,4,8,7,21-114_c-97-40,1999,,0,0,-0.300000012,0.775510192,8vs7,86,1
,,43,,,41,48522,4,7,4,21-114_c-97-40,1999,,0,0,-1.700000048,0.595875919,7vs4,84,1
,,43,,,42,48522,4,8,1,21-114_c-97-40,1999,,0,0,-3,0.78061223,8vs1,85,1
-5.7,3.183959799,44,-4.1,3.201562119,41,103492,2,9,3,NCT00961649,2010,0,,0,-1.600000024,0.693108916,9vs3,85,2
-6.5,3.10286964,182,-6.4,3.04525861,161,103503,2,9,3,NCT01310777,2013,0,,0,-0.100000001,0.332415402,9vs3,343,2
-7.96,3.71,46,-7.82,3.15,44,103506,2,13,11,NCT01664039,2014,0,,0,-0.140000001,0.724383116,13vs11,90,2
19.3,3.219937888,45,22,3.01869177,45,103509,2,13,9,NCT02140060,2014,0,,0,-2.700000048,0.657951355,13vs9,90,2
16.3,4.27,49,18.1,4.32,44,103627,2,13,7,NCT00763061,2008,0,,0,-1.799999952,0.892325878,13vs7,93,2
