"MD1","LB1","UB1","MD2","LB2","UB2","SE1","Z1","SE2","Z2","SIG1","SIG2"
-2.08,-3.21,-0.96,-1.83,-2.72,-0.93,0.573979591836735,-3.62382222222222,0.456632653061225,-4.00759776536313,1,1
-2.32,-3.5,-1.15,-2.03,-2.92,-1.13,0.599489795918367,-3.86995744680851,0.456632653061225,-4.44558659217877,1,1
-3.02,-4.19,-1.85,-2.75,-3.66,-1.83,0.596938775510204,-5.0591452991453,0.466836734693878,-5.89071038251366,1,1
-0.48,-1.17,0.22,-0.48,-1.1,0.14,0.354591836734694,-1.3536690647482,0.316326530612245,-1.51741935483871,0,0
-0.85,-1.93,0.22,-0.88,-1.85,0.08,0.548469387755102,-1.54976744186047,0.49234693877551,-1.78735751295337,0,0
-1.13,-1.64,-0.61,-1.14,-1.75,-0.54,0.262755102040816,-4.30058252427184,0.308673469387755,-3.69322314049587,1,1
-1.41,-2.4,-0.42,-1.37,-2.45,-0.29,0.505102040816326,-2.79151515151515,0.551020408163265,-2.4862962962963,1,1
-1.95,-2.73,-1.16,-1.95,-2.96,-0.93,0.400510204081633,-4.8687898089172,0.517857142857143,-3.76551724137931,1,1
-2.03,-2.58,-1.48,-2.07,-2.71,-1.43,0.280612244897959,-7.23418181818182,0.326530612244898,-6.339375,1,1
-2.27,-2.94,-1.6,-2.27,-2.91,-1.63,0.341836734693878,-6.64059701492537,0.326530612244898,-6.951875,1,1
-2.96,-3.64,-2.29,-2.98,-3.66,-2.3,0.344387755102041,-8.59496296296296,0.346938775510204,-8.58941176470588,1,1
-0.38,-1.55,0.79,-0.38,-1.36,0.6,0.596938775510204,-0.636581196581197,0.5,-0.76,0,0
-0.65,-1.35,0.05,-0.65,-1.24,-0.06,0.357142857142857,-1.82,0.301020408163265,-2.15932203389831,0,1
-0.94,-2.04,0.16,-0.91,-1.99,0.17,0.561224489795918,-1.67490909090909,0.551020408163265,-1.65148148148148,0,0
-1.47,-2.38,-0.55,-1.47,-2.48,-0.46,0.466836734693878,-3.14885245901639,0.51530612244898,-2.85267326732673,1,1
-1.55,-2.3,-0.81,-1.57,-2.21,-0.93,0.380102040816326,-4.07785234899329,0.326530612244898,-4.808125,1,1
-1.79,-2.6,-0.98,-1.77,-2.41,-1.14,0.413265306122449,-4.33135802469136,0.323979591836735,-5.46330708661417,1,1
-2.49,-3.31,-1.66,-2.49,-3.16,-1.82,0.420918367346939,-5.91563636363636,0.341836734693878,-7.28417910447761,1,1
-0.27,-1.21,0.67,-0.26,-1.04,0.51,0.479591836734694,-0.562978723404255,0.395408163265306,-0.657548387096774,0,0
-0.56,-1.83,0.71,-0.52,-1.72,0.67,0.647959183673469,-0.864251968503937,0.60969387755102,-0.852887029288703,0,0
-1.09,-2.16,-0.02,-1.08,-2.19,0.02,0.545918367346939,-1.99663551401869,0.563775510204082,-1.91565610859728,1,0
-1.17,-2.19,-0.16,-1.19,-2.03,-0.35,0.517857142857143,-2.25931034482759,0.428571428571428,-2.77666666666667,1,1
-1.41,-2.48,-0.35,-1.39,-2.23,-0.55,0.543367346938776,-2.59492957746479,0.428571428571429,-3.24333333333333,1,1
-2.11,-3.17,-1.04,-2.11,-2.97,-1.25,0.543367346938776,-3.88319248826291,0.438775510204082,-4.80883720930232,1,1
-0.29,-1.14,0.57,-0.4,-1.35,0.54,0.436224489795918,-0.664795321637427,0.482142857142857,-0.82962962962963,0,0
-0.82,-1.43,-0.21,-0.9,-1.69,-0.1,0.311224489795918,-2.63475409836066,0.405612244897959,-2.2188679245283,1,1
-0.9,-1.28,-0.52,-0.92,-1.26,-0.57,0.193877551020408,-4.6421052631579,0.176020408163265,-5.22666666666667,1,1
-1.14,-1.65,-0.64,-1.12,-1.44,-0.79,0.25765306122449,-4.42455445544555,0.165816326530612,-6.75446153846154,1,1
-1.84,-2.33,-1.34,-1.85,-2.23,-1.47,0.252551020408163,-7.28565656565657,0.193877551020408,-9.54210526315789,1,1
